date,username,full_text,label
2026-05-09,user_4608,Pelayanan di sini bener-bener lemot karena lemot. bikin pusing.,0
2026-05-16,user_9116,Proyek pemerintah biasa saja sehingga Proyek pemerintah yang lain perlu sosialisasi lagi.,1
2026-05-01,user_6791,Sistem baru lumayan bagus karena memuaskan. ga jelas bgt.,2
2026-05-22,user_2546,Pelayanan di sini kurang mengecewakan tapi membingungkan. ga jelas bgt.,0
2026-05-31,user_1178,Pelayanan di sini seperti biasa dan Pelayanan di sini yang lain biasa saja.,1
2026-05-10,user_3650,Fitur AI nya bener-bener cepat tapi membantu. ga jelas bgt.,2
2026-05-24,user_1754,Aplikasi ini lumayan gagal karena error terus. semoga makin baik.,0
2026-05-04,user_8135,Pemerintah seperti biasa tapi Pemerintah yang lain seperti biasa.,1
2026-05-13,user_1588,Aplikasi ini tidak keren dan memuaskan. bikin pusing.,2
2026-05-28,user_5608,Pemerintah sangat membingungkan karena buruk. perlu ditingkatkan.,0
2026-05-28,user_5829,Pelayanan di sini biasa saja sehingga Pelayanan di sini yang lain biasa saja.,1
2026-05-19,user_4683,Pemerintah kurang keren dan inovatif. bikin pusing.,2
2026-05-15,user_5509,Pemerintah lumayan error terus tapi mengecewakan. semoga makin baik.,0
2026-05-17,user_7638,Proyek pemerintah biasa saja tapi Proyek pemerintah yang lain biasa saja.,1
2026-05-19,user_2085,Pemerintah lumayan inovatif sehingga cepat. semoga makin baik.,2
2026-05-23,user_3358,Proyek pemerintah kurang gagal karena gagal. ga jelas bgt.,0
2026-05-02,user_5387,Pelayanan di sini biasa saja sehingga Pelayanan di sini yang lain standar.,1
2026-05-25,user_3838,Fitur AI nya kurang membantu tapi inovatif. ga jelas bgt.,2
2026-05-05,user_5151,Sistem baru kurang gagal tapi error terus. semoga makin baik.,0
2026-05-17,user_8327,Fitur AI nya standar tapi Fitur AI nya yang lain biasa saja.,1
2026-05-15,user_2305,Sistem baru tidak membantu tapi memuaskan. bikin pusing.,2
2026-05-18,user_2593,Sistem baru lumayan lemot dan lemot. ga jelas bgt.,0
2026-05-29,user_8958,Sistem baru standar sehingga Sistem baru yang lain biasa saja.,1
2026-05-24,user_6989,Fitur AI nya tidak inovatif sehingga membantu. bikin pusing.,2
2026-05-22,user_3256,Proyek pemerintah bener-bener membingungkan dan error terus. ga jelas bgt.,0
2026-05-08,user_8254,Fitur AI nya biasa saja sehingga Fitur AI nya yang lain biasa saja.,1
2026-05-11,user_4129,Proyek pemerintah lumayan membantu dan bagus. mantap lah!,2
2026-05-27,user_2318,Aplikasi ini bener-bener lemot karena buruk. semoga makin baik.,0
2026-05-05,user_4949,Pelayanan di sini seperti biasa karena Pelayanan di sini yang lain seperti biasa.,1
2026-05-26,user_9563,Fitur AI nya bener-bener memuaskan dan membantu. perlu ditingkatkan.,2
2026-05-11,user_7514,Aplikasi ini tidak mengecewakan dan error terus. bikin pusing.,0
2026-05-02,user_8145,Sistem baru seperti biasa karena Sistem baru yang lain standar.,1
2026-05-04,user_4356,Sistem baru kurang membantu dan bagus. perlu ditingkatkan.,2
2026-05-07,user_5065,Pemerintah kurang mengecewakan karena error terus. mantap lah!,0
2026-05-20,user_9686,Aplikasi ini biasa saja tapi Aplikasi ini yang lain perlu sosialisasi lagi.,1
2026-05-13,user_8886,Fitur AI nya lumayan membantu karena memuaskan. semoga makin baik.,2
2026-05-14,user_7023,Proyek pemerintah kurang membingungkan dan gagal. bikin pusing.,0
2026-05-10,user_6308,Proyek pemerintah standar karena Proyek pemerintah yang lain seperti biasa.,1
2026-05-18,user_4910,Fitur AI nya sangat keren sehingga memuaskan. bikin pusing.,2
2026-05-17,user_9075,Fitur AI nya sangat membingungkan sehingga gagal. semoga makin baik.,0
2026-05-12,user_2512,Fitur AI nya seperti biasa dan Fitur AI nya yang lain standar.,1
2026-05-10,user_9526,Sistem baru bener-bener cepat sehingga bagus. semoga makin baik.,2
2026-05-10,user_2684,Fitur AI nya lumayan membingungkan sehingga mengecewakan. bikin pusing.,0
2026-05-23,user_1429,Aplikasi ini perlu sosialisasi lagi dan Aplikasi ini yang lain perlu sosialisasi lagi.,1
2026-05-22,user_7271,Fitur AI nya sangat inovatif sehingga keren. semoga makin baik.,2
2026-05-12,user_6423,Sistem baru tidak gagal sehingga error terus. perlu ditingkatkan.,0
2026-05-03,user_4894,Aplikasi ini biasa saja tapi Aplikasi ini yang lain biasa saja.,1
2026-05-30,user_5678,Aplikasi ini sangat keren dan membantu. ga jelas bgt.,2
2026-05-15,user_9775,Sistem baru tidak mengecewakan dan mengecewakan. bikin pusing.,0
2026-05-08,user_7028,Pemerintah seperti biasa sehingga Pemerintah yang lain biasa saja.,1
2026-05-11,user_8053,Proyek pemerintah tidak cepat dan keren. mantap lah!,2
2026-05-28,user_5298,Fitur AI nya lumayan lemot dan mengecewakan. ga jelas bgt.,0
2026-05-03,user_3861,Pemerintah seperti biasa tapi Pemerintah yang lain seperti biasa.,1
2026-05-31,user_6484,Proyek pemerintah kurang membantu dan memuaskan. perlu ditingkatkan.,2
2026-05-07,user_2274,Aplikasi ini lumayan gagal sehingga error terus. mantap lah!,0
2026-05-27,user_3176,Sistem baru standar dan Sistem baru yang lain seperti biasa.,1
2026-05-14,user_7410,Fitur AI nya kurang keren karena cepat. ga jelas bgt.,2
2026-05-01,user_9650,Proyek pemerintah kurang buruk dan membingungkan. bikin pusing.,0
2026-05-20,user_1245,Pemerintah standar sehingga Pemerintah yang lain perlu sosialisasi lagi.,1
2026-05-16,user_6472,Pelayanan di sini tidak memuaskan sehingga keren. ga jelas bgt.,2
2026-05-03,user_1443,Pelayanan di sini lumayan gagal sehingga error terus. perlu ditingkatkan.,0
2026-05-11,user_3731,Pemerintah perlu sosialisasi lagi karena Pemerintah yang lain perlu sosialisasi lagi.,1
2026-05-05,user_9603,Aplikasi ini tidak keren dan inovatif. perlu ditingkatkan.,2
2026-05-29,user_6444,Proyek pemerintah lumayan membingungkan dan error terus. semoga makin baik.,0
2026-05-22,user_4156,Pemerintah biasa saja tapi Pemerintah yang lain biasa saja.,1
2026-05-30,user_6512,Pelayanan di sini kurang membantu sehingga cepat. mantap lah!,2
2026-05-18,user_2157,Fitur AI nya lumayan membingungkan dan membingungkan. semoga makin baik.,0
2026-05-10,user_1640,Aplikasi ini perlu sosialisasi lagi dan Aplikasi ini yang lain seperti biasa.,1
2026-05-01,user_8991,Pelayanan di sini tidak membantu sehingga memuaskan. mantap lah!,2
